Date,Stock_Ticker,Market_Cap,HA_Close,HA_Open,EMA_89_HA_Close,Breakout_Strength_Percent,Signal_High,Signal_Close,Regular_Close
2022-07-01,BOSCHLTD,Small Cap,15292.94,13838.75,14760.07,3.61,16260.16,16152.39,16152.39
2022-07-01,INDIANB,Small Cap,151.08,139.82,143.98,4.93,168.31,163.22,163.22
2022-07-01,BANKBARODA,Small Cap,98.01,90.95,95.79,2.32,109.45,106.16,106.16
2022-05-01,HEROMOTOCO,Small Cap,2325.94,2152.26,2260.2,2.91,2510.13,2477.92,2477.92
2022-02-01,COALINDIA,Mid Cap,121.34,113.02,119.19,1.81,127.0,126.44,126.44
2022-01-01,SUZLON,Small Cap,10.34,7.02,8.98,15.17,12.03,10.97,10.97
2021-10-01,COALINDIA,Mid Cap,126.13,106.88,119.7,5.37,143.42,115.73,115.73
2021-10-01,BOSCHLTD,Small Cap,15610.63,13969.14,14759.75,5.76,17524.74,15998.09,15998.09
2021-09-01,ONGC,Mid Cap,102.19,88.87,95.43,7.09,114.2,110.9,110.9
2021-09-01,INDUSTOWER,Small Cap,253.67,214.27,218.62,16.03,314.64,291.85,291.85
2021-08-01,ITC,Large Cap,181.87,177.76,179.36,1.4,188.23,183.16,183.16
2021-07-01,TITAGARH,Small Cap,75.23,57.31,70.16,7.24,83.2,79.36,79.36
2021-06-01,OIL,Small Cap,78.77,66.12,76.4,3.1,88.0,84.35,84.35
2021-06-01,NBCC,Small Cap,33.06,27.44,31.89,3.67,37.94,34.23,34.23
2021-05-01,IOC,Small Cap,51.65,46.25,50.15,2.99,58.38,56.1,56.1
2021-05-01,GLENMARK,Small Cap,581.09,490.92,544.99,6.62,629.4,582.69,582.69
2021-03-01,NTPC,Small Cap,91.62,79.58,88.53,3.49,97.14,90.24,90.24
2021-02-01,CUMMINSIND,Small Cap,678.09,534.76,583.65,16.18,761.23,729.51,729.51
2021-02-01,LTF,Small Cap,90.92,77.75,88.58,2.64,101.48,99.53,99.53
2021-02-01,NCC,Small Cap,71.56,48.14,60.15,18.97,93.01,82.95,82.95
2021-02-01,LICHSGFIN,Small Cap,390.42,328.49,367.72,6.17,444.86,392.01,392.01
2021-02-01,TATAMOTORS,Mid Cap,293.13,194.91,265.56,10.38,336.89,318.22,318.22
2021-02-01,INDUSTOWER,Small Cap,221.28,199.94,216.21,2.35,248.48,226.63,226.63
2021-02-01,IIFL,Small Cap,210.05,109.0,153.19,37.12,278.03,267.2,267.2
2021-02-01,FEDERALBNK,Small Cap,75.72,62.42,68.86,9.97,84.31,79.86,79.86
2021-02-01,CONCOR,Small Cap,491.78,398.34,426.63,15.27,581.94,543.77,543.77
2021-01-01,GAIL,Small Cap,69.34,55.39,63.3,9.54,78.29,67.1,67.1
2021-01-01,NATIONALUM,Small Cap,35.85,28.86,32.87,9.05,38.99,37.35,37.35
2021-01-01,LUPIN,Small Cap,991.71,910.43,945.56,4.88,1084.03,981.11,981.11
2020-12-01,SBIN,Large Cap,240.82,191.48,235.62,2.21,258.27,253.7,253.7
2020-12-01,MOTHERSON,Small Cap,41.31,31.54,34.21,20.75,44.15,43.99,43.99
2020-12-01,LT,Small Cap,1158.01,934.16,1005.85,15.13,1273.05,1224.64,1224.64
2020-12-01,FORTIS,Small Cap,151.66,134.73,140.71,7.78,160.99,154.23,154.23
2020-12-01,VEDL,Small Cap,70.0,52.67,68.91,1.58,83.21,78.68,78.68
2020-12-01,SUNPHARMA,Small Cap,527.65,469.67,506.81,4.11,569.29,562.54,562.54
2020-12-01,PGEL,Small Cap,14.85,10.13,13.71,8.35,17.18,14.02,14.02
2020-12-01,ABB,Small Cap,1133.08,930.18,1054.57,7.44,1234.2,1187.24,1187.24
2020-12-01,TATAPOWER,Small Cap,68.46,53.59,63.0,8.67,75.7,72.68,72.68
2020-12-01,EXIDEIND,Small Cap,180.38,160.42,172.67,4.46,189.98,184.02,184.02
2020-12-01,SHRIRAMFIN,Small Cap,190.71,142.42,172.69,10.44,203.55,192.25,192.25
2020-12-01,HINDPETRO,Small Cap,116.48,104.81,112.67,3.38,126.08,117.2,117.2
