Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2023-08-01,JSWSTEEL,Mid Cap,793.68,439.4
2023-08-01,HINDUNILVR,Large Cap,2451.34,1859.15
2023-08-01,SBIN,Large Cap,567.98,362.76
2023-08-01,TITAN,Large Cap,3013.71,1604.59
2023-08-01,GRASIM,Mid Cap,1786.87,1172.6
2023-08-01,KOTAKBANK,Large Cap,1799.71,1482.46
2023-08-01,TCS,Large Cap,3295.85,2406.05
2023-08-01,NESTLEIND,Large Cap,1075.58,710.48
2023-08-01,POWERGRID,Large Cap,172.16,104.93
2023-08-01,ADANIPORTS,Mid Cap,790.67,526.47
2023-08-01,ULTRACEMCO,Large Cap,8149.73,5315.65
2023-08-01,BHARTIARTL,Large Cap,858.62,544.24
2023-08-01,LT,Large Cap,2614.99,1457.99
2023-07-01,AXISBANK,Large Cap,966.46,660.97
2023-07-01,HINDUNILVR,Large Cap,2551.65,1845.25
2023-07-01,GRASIM,Mid Cap,1766.71,1158.18
2023-07-01,ADANIPORTS,Mid Cap,740.76,520.27
2023-07-01,KOTAKBANK,Large Cap,1878.31,1475.01
2023-07-01,INFY,Large Cap,1302.49,991.11
2023-07-01,MARUTI,Large Cap,9496.7,6776.5
2023-07-01,TCS,Large Cap,3270.47,2385.16
2023-07-01,ASIANPAINT,Large Cap,3326.17,2110.83
2023-07-01,POWERGRID,Large Cap,174.89,103.35
2023-07-01,JSWSTEEL,Mid Cap,788.65,431.08
2023-07-01,CIPLA,Mid Cap,1075.46,747.48
2023-07-01,ITC,Large Cap,436.92,226.61
2023-07-01,SBIN,Large Cap,576.2,357.94
2023-07-01,BHARTIARTL,Large Cap,865.03,536.86
2023-07-01,RELIANCE,Large Cap,1224.7,800.66
2023-07-01,WIPRO,Large Cap,193.32,168.55
2023-07-01,HDFCBANK,Large Cap,814.07,569.0
2023-07-01,TITAN,Large Cap,3024.65,1571.5
2023-07-01,LT,Large Cap,2501.11,1430.82
2023-07-01,SUNPHARMA,Large Cap,1071.64,686.33
2023-07-01,NESTLEIND,Large Cap,1099.65,701.91
2023-07-01,NTPC,Large Cap,190.22,112.43
2023-07-01,TATAMOTORS,Mid Cap,614.53,345.0
2023-07-01,ULTRACEMCO,Large Cap,8179.53,5249.1
2023-06-01,POWERGRID,Large Cap,166.96,101.67
2023-06-01,NTPC,Large Cap,170.12,110.6
2023-06-01,ITC,Large Cap,418.5,221.67
2023-06-01,JSWSTEEL,Mid Cap,730.76,422.67
2023-06-01,AXISBANK,Large Cap,951.32,653.79
2023-06-01,TATAMOTORS,Mid Cap,553.01,338.66
2023-06-01,ADANIPORTS,Mid Cap,721.64,515.09
2023-06-01,RELIANCE,Large Cap,1148.71,790.69
2023-06-01,BHARTIARTL,Large Cap,839.04,529.14
2023-06-01,NESTLEIND,Large Cap,1080.96,692.56
